model,rmse,mae,r2
RandomForest,0.5592712519855197,0.44735844102708794,0.2934500559142986
Ridge,0.5738452296923835,0.4636132387963606,0.25614647428075044
LinearRegression,0.5738457086278888,0.4636063894581624,0.25614523262884026
